timestamp,amount
1000301400,0.31
1000733400,0.31
1001597400,0.02585
1008167400,0.33
1009549800,0.02585
1015425000,0.33
1017239400,0.02585
1023888600,0.33
1025184600,0.02585
1031751000,0.33
1033133400,0.02585
1039617000,0.36
1041258600,0.02585
1047479400,0.36
1048861800,0.02585
1055338200,0.36
1056720600,0.02585
1063200600,0.36
1064842200,0.02585
1071066600,0.45
1072794600,0.02585
1078929000,0.225
1080657000,0.02585
1086787800,0.225
1088515800,0.02585
1094650200,0.225
1096464600,0.02585
1102948200,0.25
1104417000,0.19884
1110378600,0.25
1112193000,0.19884
1118237400,0.25
1120051800,0.19884
1126099800,0.25
1127914200,0.19884
1134397800,0.28
1135866600,0.19884
1141828200,0.28
1143729000,0.19884
1149687000,0.28
1151587800,0.19884
1157981400,0.28
1159968600,0.19884
1166020200,0.33
1167316200,0.19884
1173879000,0.33
1175175000,0.19884
1179322200,0.19884
1181741400,0.33
1183383000,10.21043
1189603800,0.33
1190899800,0.07457
1197469800,0.13
1199111400,0.07457
1205328600,0.13
1206711000,0.07457
1213191000,0.13
1214573400,0.07457
1221053400,0.13
1222695000,0.09942
1228919400,0.13
1230733800,0.09942
1236778200,0.13
1240925400,0.09942
1244640600,0.13
1248874200,0.09942
1252503000,0.13
1256736600,0.09942
1260369000,0.13
1264602600,0.09942
1268231400,0.13
1274103000,0.09693
1276090200,0.13
1280323800,0.10389
1283952600,0.13
1288186200,0.10439
1291818600,0.16
1296052200,0.10439
1299681000,0.16
1303911000,0.12428
1307539800,0.16
1311773400,0.12428
1315402200,0.16
1319635800,0.12428
1323268200,0.18
1327501800,0.12428
1331130600,0.18
1335360600,0.12428
1338989400,0.18
1343223000,0.12428
1346851800,0.18
1350048600,0.15
1354717800,0.19
1358951400,0.15
1362580200,0.19
1366810200,0.16
1370439000,0.19
1374672600,0.16
1378301400,0.19
1382535000,0.16
1386858600,0.22
1390401000,0.16
1394029800,0.22
1398259800,0.18
1401888600,0.22
1406122200,0.18
1409751000,0.22
1413984600,0.18
1418221800,0.26
1421850600,0.18
1425479400,0.26
1429709400,0.205
1433338200,0.26
1437571800,0.205
1441200600,0.26
1445434200,0.205
1449671400,0.29
1453300200,0.205
1457533800,0.29
1461159000,0.205
1465392600,0.29
1469021400,0.205
1470231000,0.29
1481553000,0.25
952525800,0.28
954426600,0.02585
960384600,0.28
962199000,0.02585
968679000,0.28
970147800,0.02585
976113000,0.31
978013800,0.02585
983975400,0.31
985876200,0.02585
992439000,0.31
