timestamp,amount
1005143400,0.21
1013697000,0.21
1020864600,0.21
1028813400,0.21
1036679400,0.215
1045146600,0.215
1052400600,0.215
1060263000,0.215
1068129000,0.22
1076596200,0.22
1083850200,0.225
1091799000,0.225
1099924200,0.225
1108650600,0.225
1115386200,0.235
1123507800,0.235
1131460200,0.235
1140013800,0.235
1147095000,0.24
1155043800,0.24
1162996200,0.24
1171463400,0.25
1178631000,0.25
1186579800,0.26
1194445800,0.26
1203517800,0.26
1210253400,0.26
1218115800,0.26
1225981800,0.265
1234967400,0.265
1241703000,0.265
1249565400,0.265
1257517800,0.27
1266417000,0.27
1273152600,0.27
1281101400,0.275
1289226600,0.275
1297866600,0.275
1304688600,0.285
1312810200,0.285
1320762600,0.285
1329316200,0.285
1336483800,0.295
1344432600,0.295
1352298600,0.295
1361370600,0.295
1368019800,0.305
1375968600,0.305
1383748200,0.305
1392820200,0.305
1399555800,0.335
1407418200,0.335
1415284200,0.335
1424269800,0.335
1431005400,0.36
1438867800,0.36
1446820200,0.36
1455719400,0.36
1462541400,0.4
1470663000,0.4
1478615400,0.4
950797800,0.2
957792600,0.2
965741400,0.2
973693800,0.2
982247400,0.21
989328600,0.21
997277400,0.21
