timestamp,amount
1045060200,0.03
1052314200,0.07
1060176600,0.04
1068042600,0.04
1076509800,0.06
1083763800,0.06
1091626200,0.06
1099492200,0.06
1107354600,0.06
1115213400,0.08
1123075800,0.08
1130941800,0.08
1138804200,0.08
1146663000,0.08
1155735000,0.08
1162391400,0.1
1170253800,0.1
1178112600,0.1
1185975000,0.1
1193837400,0.1
1201703400,0.1
1209562200,0.12
1217424600,0.12
1225895400,0.12
1233757800,0.03
1303997400,0.18
1312378200,0.18
1320154200,0.18
1329143400,0.25
1335792600,0.25
1344605400,0.32
1352471400,0.32
1355322600,0.38
1368451800,0.38
1375709400,0.38
1383834600,0.43
1391697000,0.43
1399901400,0.43
1407331800,0.43
1415284200,0.54
1415370600,0.54
1423233000,0.54
1430314200,0.54
1438954200,0.54
1446647400,0.63
1454682600,0.63
1462541400,0.63
1474291800,0.63
1482157800,0.63
