timestamp,amount
1140791400,0.16
1149168600,0.18
1156858200,0.2
1164724200,0.2
1173105000,0.22
1180618200,0.22
1189603800,0.25
1196260200,0.25
1204295400,0.25
1212154200,0.27
1220016600,0.27
1228228200,0.27
1236605400,0.05
1244467800,0.05
1252416600,0.05
1260369000,0.05
1268145000,0.05
1276003800,0.05
1283952600,0.05
1291818600,0.05
1299681000,0.05
1307539800,0.1
1315402200,0.1
1323268200,0.1
1331217000,0.1
1339075800,0.1
1346938200,0.12
1354890600,0.12
1362666600,0.12
1370525400,0.12
1378474200,0.12
1386599400,0.12
1394202600,0.12
1402061400,0.12
1410183000,0.15
1418135400,0.15
1425907800,0.15
1433770200,0.15
1441719000,0.15
1449671400,0.15
1457533800,0.15
1465392600,0.15
1473255000,0.18
1481121000,0.18
