timestamp,amount
1003152600,0.01
1011105000,0.01
1018618200,0.01
1026739800,0.01
1034688600,0.01
1042641000,0.01
1050327000,0.01
1058275800,0.0125
1066224600,0.0125
1074090600,0.0125
1081949400,0.015
1089811800,0.015
1097674200,0.015
1105540200,0.015
1113399000,0.02
1121261400,0.02
1129210200,0.02
1137076200,0.02
1144762200,0.03
1152797400,0.03
1160746200,0.03
1168612200,0.03
1176384600,0.045
1184333400,0.045
1192455000,0.045
1200407400,0.045
1208179800,0.06
1216128600,0.06
1224077400,0.0675
1231943400,0.0675
1239715800,0.0725
1247664600,0.0725
1255527000,0.0725
1263393000,0.0725
1271251800,0.0775
1279114200,0.0775
1286976600,0.0775
1294842600,0.0775
1302701400,0.08
1310563800,0.08
1318512600,0.08
1326378600,0.08
1334237400,0.085
1342186200,0.085
1350307800,0.085
1358260200,0.085
1365773400,0.094
1373895000,0.094
1381843800,0.094
1389796200,0.094
1397482200,0.125
1405431000,0.125
1413379800,0.168
1421245800,0.168
1429018200,0.168
1436967000,0.168
1444829400,0.168
1452695400,0.168
1460554200,0.168
1468416600,0.168
1476365400,0.168
1484231400,0.168
947687400,0.0075
955546200,0.0075
963495000,0.00875
971443800,0.00875
979309800,0.00875
986995800,0.01
995031000,0.01
