timestamp,amount
1190986200,0.14
1199975400,0.14
1207834200,0.14
1215783000,0.14
1223559000,0.16
1231511400,0.16
1239283800,0.16
1252503000,0.16
1260541800,0.16
1267799400,0.16
1275658200,0.16
1283434200,0.16
1291386600,0.16
1299249000,0.16
1306503000,0.18
1314711000,0.18
1322577000,0.18
1330439400,0.18
1338384600,0.21
1346247000,0.21
1354113000,0.21
1361975400,0.21
1369834200,0.25
1377696600,0.25
1385476200,0.25
1393425000,0.25
1401283800,0.29
1409146200,0.29
1416925800,0.29
1424874600,0.29
1432733400,0.33
1440595800,0.33
1448375400,0.33
1456324200,0.33
1464183000,0.37
1472045400,0.37
1479825000,0.37
