timestamp,amount
1160055000,0.009
1168439400,0.009
1175693400,0.015
1183123800,0.015
1192627800,0.015
1199889000,0.015
1207575000,0.015
1215610200,0.015
1223472600,0.015
1231338600,0.015
1239197400,0.015
1247059800,0.015
1254922200,0.015
1262788200,0.015
1270647000,0.015
1277991000,0.015
1286458200,0.015
1294324200,0.015
1302096600,0.015
1309959000,0.015
1317821400,0.015
1325773800,0.015
1333546200,0.03
1341495000,0.03
1349443800,0.03
1357569000,0.03
1365168600,0.06
1373031000,0.06
1381152600,0.06
1389105000,0.11
1396877400,0.11
1404739800,0.11
1412688600,0.11
1420641000,0.16
1428413400,0.16
1436275800,0.16
1444224600,0.16
1452090600,0.19
1459949400,0.19
1467811800,0.19
1475674200,0.19
1483626600,0.22
