timestamp,amount
1005661800,0.225
1037197800,0.235
1068647400,0.4
1100097000,0.55
1131633000,0.67
1163428200,1.0
1194964200,1.5
1204209000,0.375
1212672600,0.375
1219930200,0.375
1227709800,0.5
1235658600,0.5
1244122200,0.5
1251466200,0.5
1259332200,0.55
1267108200,0.55
1274967000,0.55
1283175000,0.55
1291041000,0.61
1298644200,0.61
1306503000,0.61
1314711000,0.61
1322577000,0.7
1330439400,0.7
1338471000,0.7
1346333400,0.7
1354199400,0.77
1361975400,0.77
1369920600,0.77
1377783000,0.77
1385562600,0.81
1393511400,0.81
1401370200,0.81
1409232600,0.81
1417012200,0.85
1424961000,0.85
1432819800,0.85
1440768600,0.85
1448634600,0.89
1456497000,0.89
1464874200,0.89
1472563800,0.89
1480429800,0.94
974125800,0.215
