timestamp,amount
1001597400,0.1
1009549800,0.11
1017239400,0.11
1025184600,0.12
1033133400,0.12
1041258600,0.13
1048861800,0.13
1056720600,0.14
1064842200,0.14
1072794600,0.15
1080657000,0.15
1088515800,0.16
1096464600,0.16
1104417000,0.17
1112193000,0.17
1120051800,0.18
1128000600,0.18
1135866600,0.19
1143729000,0.19
1151587800,0.2
1159450200,0.2
1167316200,0.21
1175175000,0.21
1182951000,0.22
1190899800,0.22
1198852200,0.23
1206711000,0.23
1214573400,0.24
1222695000,0.24
1230647400,0.24
1238419800,0.01
1246282200,0.01
1254231000,0.01
1262183400,0.01
1269955800,0.01
1277818200,0.01
1285767000,0.01
1293719400,0.01
1301491800,0.18
1309354200,0.18
1317303000,0.18
1325169000,0.18
1333027800,0.24
1340890200,0.24
1348752600,0.24
1356705000,0.24
1364391000,0.26
1372339800,0.26
1380288600,0.26
1388413800,0.26
1396013400,0.26
1403875800,0.3
1411997400,0.3
1419949800,0.3
1427722200,0.3
1435584600,0.34
1443533400,0.34
1451485800,0.34
1459344600,0.34
1467207000,0.34
1475155800,0.38
1483021800,0.38
954426600,0.08
962285400,0.085
970147800,0.085
978013800,0.095
985876200,0.095
993735000,0.1
