timestamp,amount
1000128600,0.025
1007994600,0.0375
1015857000,0.0375
1023715800,0.0375
1031578200,0.0375
1039444200,0.05
1047306600,0.05
1055165400,0.05
1063027800,0.05
1070893800,0.07
1078756200,0.07
1086615000,0.07
1094218200,0.07
1102343400,0.07
1110205800,0.09
1118064600,0.09
1126531800,0.09
1134397800,0.09
1141655400,0.09
1150119000,0.09
1157981400,0.09
1165847400,0.09
1173706200,0.09
1181568600,0.09
1189431000,0.09
1197297000,0.09
1205155800,0.09
1213018200,0.09
1220880600,0.09
1228746600,0.09
1236605400,0.09
1244467800,0.09
1252071000,0.09
1260196200,0.09
1268058600,0.09
1275917400,0.09
1283520600,0.09
1291645800,0.09
1299508200,0.09
1307367000,0.09
1315834200,0.09
1323700200,0.09
1331559000,0.09
1339421400,0.09
1347283800,0.09
1355149800,0.09
1363008600,0.09
1370871000,0.09
1378733400,0.18
1386599400,0.18
1394458200,0.18
1402320600,0.27
1410183000,0.27
1418049000,0.27
1425907800,0.27
1433770200,0.27
1441373400,0.27
1449498600,0.27
1457361000,0.05
1465219800,0.05
1473687000,0.05
1481553000,0.05
952353000,0.025
960816600,0.025
968679000,0.025
976545000,0.025
984407400,0.025
992266200,0.025
