timestamp,amount
1008167400,0.025
1016029800,0.025
1023888600,0.025
1039530600,0.1
1071239400,0.15
1102516200,0.2
1133965800,0.2
1165415400,0.25
1196865000,0.275
1227709800,0.275
1259159400,0.275
1290609000,0.375
1322058600,0.525
1361889000,0.18
1369834200,0.18
1377696600,0.18
1385476200,0.2
1393425000,0.2
1401283800,0.2
1409146200,0.2
1416925800,0.24
1424874600,0.24
1432733400,0.24
1440682200,0.24
1448461800,0.3
1456410600,0.3
1464269400,0.3
1472477400,0.3
1480343400,0.34
953044200,0.025
960989400,0.025
968851800,0.025
976717800,0.025
984580200,0.025
992439000,0.025
