timestamp,amount
1191418200,0.06
1199111400,0.06
1207056600,0.06
1214573400,0.06
1222695000,0.06
1230647400,0.06
1238419800,0.02
1246282200,0.02
1254231000,0.02
1262097000,0.02
1269955800,0.02
1278077400,0.02
1286285400,0.02
1293460200,0.02
1302010200,0.06
1309872600,0.06
1317735000,0.06
1324996200,0.1
1333459800,0.1
1341235800,0.1
1349184600,0.1
1356964200,0.14
1367933400,0.2
1375795800,0.2
1383661800,0.2
1391524200,0.2
1399383000,0.24
1407245400,0.24
1415111400,0.24
1422973800,0.24
1430832600,0.28
1438695000,0.28
1446561000,0.28
1454423400,0.28
1462282200,0.28
1470144600,0.3
1478007000,0.3
