timestamp,amount
1001511000,0.04005
1009463400,0.04005
1017153000,0.04005
1025098200,0.04005
1033047000,0.04005
1040999400,0.04995
1048775400,0.0333
1056634200,0.0333
1064583000,0.0333
1072708200,0.03
1080570600,0.03
1088429400,0.03
1096378200,0.03
1104330600,0.03
1112106600,0.03
1119965400,0.06
1127914200,0.06
1135780200,0.06
1143642600,0.06
1151501400,0.06
1159363800,0.06
1167229800,0.06
1175088600,0.06
1182951000,0.06
954340200,0.04005
962199000,0.04005
970061400,0.04005
977927400,0.04005
985789800,0.04005
993648600,0.04005
