timestamp,amount
1008253800,0.16
1016029800,0.16
1023888600,0.16
1032355800,0.16
1040221800,0.16
1047911400,0.16
1055424600,0.16
1063805400,0.175
1071671400,0.175
1079533800,0.175
1087392600,0.175
1095255000,0.2
1103121000,0.2
1110897000,0.2
1118755800,0.215
1126704600,0.215
1134570600,0.215
1142433000,0.25
1150291800,0.25
1158154200,0.25
1166020200,0.25
1173792600,0.265
1181741400,0.265
1189603800,0.265
1197469800,0.265
1205328600,0.265
1213191000,0.133
1221053400,0.133
1228919400,0.133
1236778200,0.01
1244640600,0.01
1252503000,0.01
1260973800,0.01
1268746200,0.01
1276608600,0.01
1284557400,0.01
1292509800,0.01
1300282200,0.01
1308144600,0.01
1316093400,0.04
1324045800,0.04
1331818200,0.04
1339680600,0.04
1347543000,0.04
1355495400,0.04
1363267800,0.04
1371130200,0.05
1379079000,0.05
1387290600,0.05
1394803800,0.05
1402666200,0.05
1410787800,0.05
1418826600,0.06
1426512600,0.06
1434375000,0.06
1442323800,0.06
1450362600,0.07
1458135000,0.07
1465997400,0.07
1473946200,0.07
1481898600,0.08
953044200,0.18182
960989400,0.18182
968851800,0.2
976717800,0.2
984580200,0.2
992439000,0.2
