timestamp,amount
1268145000,0.14
1274794200,0.14
1282656600,0.14
1289917800,0.14
1299681000,0.14
1306330200,0.14
1314192600,0.14
1321453800,0.14
1324477800,15.125
1331217000,0.09
1337952600,0.09
1345815000,0.13
1352903400,0.13
1362666600,0.13
1369747800,0.13
1377523800,0.15
1384871400,0.15
1394116200,0.15
1401283800,0.15
1408973400,0.18
1416321000,0.18
1425652200,0.18
1432647000,0.18
1440509400,0.24
1447770600,0.24
1457447400,0.24
1464096600,0.24
1471959000,0.26
1479220200,0.26
