timestamp,amount
1005834600,0.16
1013610600,0.16
1021555800,0.16
1029504600,0.2
1037284200,0.2
1045060200,0.2
1053005400,0.23
1060954200,0.23
1068733800,0.23
1076596200,0.23
1084541400,0.25
1092663000,0.25
1100529000,0.25
1108045800,0.25
1115904600,0.27
1123853400,0.27
1131546600,0.27
1139495400,0.27
1147354200,0.28
1155562200,0.28
1163428200,0.28
1170945000,0.28
1178890200,0.3
1187098200,0.3
1194964200,0.3
1202913000,0.3
1210771800,0.32
1218634200,0.32
1222435800,5.0
1226932200,0.32
1234362600,0.32
1242221400,0.35
1250083800,0.35
1257863400,0.35
1265812200,0.35
1273671000,0.4
1281533400,0.4
1289313000,0.4
1297261800,0.44
1305120600,0.44
1312983000,0.48
1320762600,0.48
1328711400,0.48
1336570200,0.48
1344432600,0.52
1352903400,0.52
1360765800,0.52
1368624600,0.52
1376487000,0.58
1384353000,0.58
1392215400,0.58
1400074200,0.58
1407936600,0.64
1415802600,0.64
1423665000,0.64
1431523800,0.64
1439386200,0.67
1447165800,0.67
1455114600,0.67
1462973400,0.67
1470835800,0.75
1478615400,0.75
974298600,0.16
982074600,0.16
990019800,0.16
998055000,0.16
