timestamp,amount
1008858600,0.13
1016029800,0.13
1025098200,0.13
1031837400,0.15
1040308200,0.15
1047479400,0.15
1056547800,0.15
1063287000,0.18
1071757800,0.18
1079015400,0.18
1087997400,0.18
1094823000,0.205
1103553000,0.205
1110551400,0.205
1119619800,0.205
1125667800,0.23
1135261800,0.23
1142260200,0.23
1151328600,0.23
1157635800,0.25
1166797800,0.25
1173792600,0.25
1182864600,0.25
1189085400,0.27
1198247400,0.27
1205328600,0.27
1214400600,0.27
1222090200,0.29
1230042600,0.29
1237815000,0.29
1246023000,0.29
1254144600,0.29
1262010600,0.29
1269869400,0.29
1277731800,0.29
1285680600,0.29
1293633000,0.29
1301405400,0.29
1309267800,0.29
1317216600,0.29
1325082600,0.29
1332941400,0.29
1340803800,0.29
1347888600,0.29
1349184600,14.173
1356618600,0.13
1364391000,0.26
1372339800,0.13
1380202200,0.14
1388154600,0.14
1395927000,0.14
1403789400,0.14
1411738200,0.15
1419863400,0.15
1427463000,0.15
1435325400,0.15
1443447000,0.17
1451399400,0.17
1459258200,0.17
1467120600,0.17
1475069400,0.19
1482935400,0.19
