timestamp,amount
1083677400,0.015
1091626200,0.015
1099492200,0.015
1106836200,0.06
1114695000,0.06
1122643800,0.06
1131028200,0.06
1138631400,0.08
1146144600,0.08
1154352600,0.08
1162564200,0.08
1170685800,0.09
1178717400,0.09
1185888600,0.09
1194964200,0.09
1202221800,0.1
1210253400,0.1
1217424600,0.1
1226500200,0.1
1234276200,0.11
1242221400,0.11
1248874200,0.11
1258036200,0.11
1265812200,0.12
1273671000,0.12
1280323800,0.12
1289399400,0.12
1297434600,0.13
1305120600,0.13
1311773400,0.13
1321540200,0.13
1328884200,0.14
1336570200,0.14
1343827800,0.14
1352903400,0.14
1355409000,0.15
1368019800,0.15
1375277400,0.15
1384353000,0.15
1392129000,0.2
1399469400,0.2
1406727000,0.2
1415802600,0.2
1423578600,0.21
1430919000,0.21
1438176600,0.21
1446647400,0.21
1455114600,0.22
1462368600,0.22
1470231000,0.22
1478093400,0.22
949415400,0.0125
