timestamp,amount
1214487000,0.46
1221139800,0.54
1230042600,0.54
1237815000,0.54
1245677400,0.54
1253799000,0.58
1261578600,0.58
1269351000,0.58
1277213400,0.58
1285162200,0.64
1292941800,0.64
1300800600,0.64
1308663000,0.64
1316784600,0.77
1324391400,0.77
1332855000,0.77
1340631000,0.77
1348579800,0.85
1356013800,0.039
1356359400,0.085
1364304600,0.85
1372167000,0.85
1380029400,0.94
1387809000,0.94
1395754200,0.94
1403616600,0.94
1411479000,1.0
1419258600,1.0
1427203800,1.0
1435066200,1.0
1443447000,1.02
1450708200,1.02
1458653400,1.02
1466515800,1.02
1474896600,1.04
1482244200,1.04
