timestamp,amount
1005316200,0.01
1037197800,0.01
1068647400,0.01
1100269800,0.01
1131978600,0.02
1163428200,0.04
1194964200,0.04
1226327400,0.04
1257863400,0.04
1289399400,0.04
1302615000,0.15
1310477400,0.15
1318339800,0.15
1326292200,0.175
1334064600,0.175
1341927000,0.175
1349789400,0.175
1357655400,0.2
1365514200,0.2
1373376600,0.2
1381239000,0.2
1389709800,0.225
1396963800,0.225
1404826200,0.225
1413293400,0.225
1421159400,0.25
1428413400,0.25
1436880600,0.25
1444743000,0.25
1452609000,0.25
1460467800,0.25
1468330200,0.25
1476192600,0.25
1484058600,0.25
948897000,0.025
956755800,0.025
964618200,0.025
972480600,0.025
